CA-BG2	CA-FG2	CA-FG1	All	Remove duplicates
			"(CADetector,HoneyBadger)DepositCapsule_0x9168fdC9f9DB7b71865fE4bfD6f78b3610ebc704"	"(CADetector,HoneyBadger)MyCompanyWallet_0x787080326E1f7e0Eae490eFdB18E90cFD0aE2692"
			"(CADetector,HoneyBadger)QuizTime_0x8A36f3e0DA7B36fd22FCf2844C21E812279372AC"	"(CADetector,HoneyBadger)RichestTakeAll_0xe65C53087E1a40b7C53B9A0EA3C2562ae2DFEb24"
			"(CADetector,HoneyBadger)WhatIsIt_0xeD55fb58EA9de1f484AdDcc970463218b4D89CFE"	"(CADetector,HoneyBadger)TestBank_0x70C01853e4430cae353c9a7AE232a6a95f6CaFd9"
			(CADetector)Vault_0xe14F29C22F47d1ca8Dda796a6718C6bd0Be0B3CF	"(CADetector,HoneyBadger)LockedCash_0x81EDEfC64AaBdCe71f68347774bD4673D1D31419"
			(CADetector)SafeDeposit_0xeF6ad5B5e389b3676ca1c666D88821d4d5CAD2ae	"(CADetector,HoneyBadger)WalletWithEmergencyTransfer_0x98FE1D52649A3A13863647C6789F16E46e090377"
			"(CADetector,HoneyBadger)GIFT3600_0x7FfC2bD9431b059c509b45b33e77852d47dE827d"	(CADetector)SimpleEthBank_0x2C9eb11Db6B0dcb18FE8644003EE53f6B4588341
			"(CADetector,HoneyBadger)QUIZ_GAME_0x129e719C424a7A6fBdeB7Ca3d65186892D54eA8C"	
			"(CADetector,HoneyBadger)GIFT_1_ETH_0x6594aC0a2bA54885ff7d314eb27C9694cB25698b"	
			"(CADetector,HoneyBadger)PresaleHold_0xB31820C1D84E183377030B6D3F0E1Ee5C1CfF643"	
			"(CADetector,HoneyBadger)PIGGY_BANK_0xE610AF01F92f19679327715B426c35849C47c657"	
			(CADetector)NewLottery_0x26B5962250B779ab0F33970738A46FcFb00a70b9	
			(HoneyBadger)AddressLotteryV2_0xe6f245Bb5268B16c5d79a349ec57673e477BD015	
			"(CADetector,HoneyBadger)GuessTheNumber_0x0e77cb9d68B8Bf3cC41561f8edA6c71E4A4b9ef7"	
			"(CADetector,HoneyBadger)CEOThrone 0x7E97c48497a8d650DC030744B74C81e29816F8E3"	
			"(CADetector,HoneyBadger)Jeopardy_0x590D1D5bA0FEb249D42c527ae21d12f2e5768A87"	
			(CADetector)Vault_0x91151ABe8cea8EE574B50cC01c18CE36cbbA3195	
			(CADetector)SafeDeposit_0x3e365D13828c398d1bd1694aDCe8998Fd0139bA3	
			(CADetector)SafeDeposit_0x3e365D13828c398d1bd1694aDCe8998Fd0139bA3	
